Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;0,07617;30,39078
0,02000;0,07611;30,24180
0,04000;0,07647;30,28862
0,06000;0,07683;30,38971
0,08000;0,07773;31,06749
0,10000;0,07898;35,15796
0,12000;0,08036;40,73385
0,14000;0,08191;47,10263
0,16000;0,08365;54,37811
0,18000;0,08550;62,66906
0,20000;0,08735;71,29277
0,22000;0,08927;80,62403
0,24000;0,09118;90,76857
0,26000;0,09297;100,29501
0,28000;0,09483;108,72780
0,30000;0,09668;116,56937
0,32000;0,09853;125,55949
0,34000;0,10039;134,80356
0,36000;0,10218;142,71577
0,38000;0,10391;141,70110
0,40000;0,10571;107,51251
0,42000;0,10738;79,11485
0,44000;0,10918;65,58065
0,46000;0,11091;74,20774
0,48000;0,11258;86,15292
0,50000;0,11432;92,16238
0,52000;0,11605;103,71848
0,54000;0,11773;110,46538
0,56000;0,11946;119,96988
0,58000;0,12119;129,06858
0,60000;0,12281;137,62738
0,62000;0,12448;146,04321
0,64000;0,12622;154,46960
0,66000;0,12789;162,59236
0,68000;0,12950;170,58825
0,70000;0,13124;178,55465
0,72000;0,13285;186,61543
0,74000;0,13453;195,64175
0,76000;0,13620;203,46146
0,78000;0,13793;210,82524
0,80000;0,13961;218,88274
0,82000;0,14128;226,40198
0,84000;0,14290;233,59181
0,86000;0,14457;241,10563
0,88000;0,14625;248,66846
0,90000;0,14792;256,84219
0,92000;0,14965;264,70157
0,94000;0,15127;272,83260
0,96000;0,15294;281,15010
0,98000;0,15456;288,31514
1,00000;0,15623;296,07774
1,02000;0,15796;303,90241
1,04000;0,15958;312,41092
1,06000;0,16125;320,95360
1,08000;0,16299;328,43393
1,10000;0,16460;335,94500
1,12000;0,16621;343,69910
1,14000;0,16783;351,45902
1,16000;0,16962;359,96544
1,18000;0,17130;368,30346
1,20000;0,17303;376,85398
1,22000;0,17465;385,63092
1,24000;0,17626;393,11326
1,26000;0,17793;399,93399
1,28000;0,17961;407,53898
1,30000;0,18128;415,26575
1,32000;0,18296;423,04546
1,34000;0,18463;431,54228
1,36000;0,18624;438,97661
1,38000;0,18792;446,35790
1,40000;0,18953;454,26022
1,42000;0,19121;461,93679
1,44000;0,19300;470,23259
1,46000;0,19467;479,49133
1,48000;0,19629;487,10685
1,50000;0,19796;494,15361
1,52000;0,19958;501,65276
1,54000;0,20119;509,68127
1,56000;0,20287;517,53325
1,58000;0,20460;525,37275
1,60000;0,20621;533,13221
1,62000;0,20795;541,30470
1,64000;0,20962;548,80218
1,66000;0,21124;556,20796
1,68000;0,21291;563,24252
1,70000;0,21458;570,64830
1,72000;0,21626;578,03779
1,74000;0,21787;585,23519
1,76000;0,21961;592,21056
1,78000;0,22128;599,43302
1,80000;0,22296;606,61407
1,82000;0,22457;612,93864
1,84000;0,22624;619,58586
1,86000;0,22786;626,59071
1,88000;0,22959;632,80780
1,90000;0,23127;639,60133
1,92000;0,23300;646,26853
1,94000;0,23461;652,31612
1,96000;0,23629;658,26196
1,98000;0,23796;664,35388
2,00000;0,23958;669,56398
2,02000;0,24125;675,29231
2,04000;0,24298;681,18996
