Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-28,71193;57,20460
0,02000;-28,71188;56,86949
0,04000;-28,71146;57,61253
0,06000;-28,71062;59,41122
0,08000;-28,70936;64,40018
0,10000;-28,70787;72,34178
0,12000;-28,70613;83,07132
0,14000;-28,70434;95,23670
0,16000;-28,70249;107,86975
0,18000;-28,70051;120,58350
0,20000;-28,69854;134,54155
0,22000;-28,69663;147,57470
0,24000;-28,69466;160,96442
0,26000;-28,69286;173,56054
0,28000;-28,69095;184,72131
0,30000;-28,68910;195,21866
0,32000;-28,68724;205,65728
0,34000;-28,68545;215,60190
0,36000;-28,68365;225,27825
0,38000;-28,68192;234,33189
0,40000;-28,68013;243,75410
0,42000;-28,67833;252,75494
0,44000;-28,67654;262,05336
0,46000;-28,67481;271,23208
0,48000;-28,67307;280,09010
0,50000;-28,67146;288,56318
0,52000;-28,66972;296,94850
0,54000;-28,66799;305,21702
0,56000;-28,66632;313,51477
0,58000;-28,66458;321,61572
0,60000;-28,66291;329,43080
0,62000;-28,66129;337,48895
0,64000;-28,65962;344,86970
0,66000;-28,65789;352,58711
0,68000;-28,65615;360,65807
0,70000;-28,65453;368,05351
0,72000;-28,65280;376,19707
0,74000;-28,65119;384,41820
0,76000;-28,64952;391,40973
0,78000;-28,64784;398,98679
0,80000;-28,64617;407,21786
0,82000;-28,64443;414,58989
0,84000;-28,64276;422,27092
0,86000;-28,64114;429,33132
0,88000;-28,63953;436,07596
0,90000;-28,63785;443,06233
0,92000;-28,63618;450,20026
0,94000;-28,63451;456,87794
0,96000;-28,63283;463,68204
0,98000;-28,63116;470,27068
1,00000;-28,62955;476,37066
1,02000;-28,62781;482,49443
1,04000;-28,62614;488,55394
1,06000;-28,62446;493,71496
1,08000;-28,62279;498,33152
1,10000;-28,62105;503,22469
1,12000;-28,61944;507,38165
1,14000;-28,61783;510,45222
1,16000;-28,61615;513,15823
1,18000;-28,61448;516,16314
1,20000;-28,61280;519,15725
1,22000;-28,61113;521,31126
1,24000;-28,60951;523,61679
1,26000;-28,60784;525,11953
1,28000;-28,60617;525,56484
1,30000;-28,60449;526,68811
1,32000;-28,60282;527,72183
1,34000;-28,60109;528,17799
1,36000;-28,59947;528,30991
1,38000;-28,59785;527,98488
1,40000;-28,59612;528,37934
1,42000;-28,59451;528,54232
1,44000;-28,59277;528,76128
1,46000;-28,59110;528,39061
1,48000;-28,58943;527,99312
1,50000;-28,58781;527,28108
1,52000;-28,58614;525,70803
1,54000;-28,58446;524,73960
1,56000;-28,58285;524,12427
1,58000;-28,58112;523,67016
1,60000;-28,57938;523,23882
1,62000;-28,57777;522,49855
1,64000;-28,57615;521,39563
1,66000;-28,57448;520,14939
1,68000;-28,57280;519,05778
1,70000;-28,57113;518,24916
1,72000;-28,56946;518,26392
1,74000;-28,56778;517,81386
1,76000;-28,56611;517,11160
1,78000;-28,56443;515,75038
1,80000;-28,56276;514,30431
1,82000;-28,56109;512,72246
1,84000;-28,55947;511,62690
1,86000;-28,55774;511,69596
1,88000;-28,55606;511,32040
1,90000;-28,55439;510,40780
1,92000;-28,55271;510,73567
1,94000;-28,55104;513,62291
1,96000;-28,54943;517,95105
1,98000;-28,54775;522,03238
2,00000;-28,54614;526,99023
2,02000;-28,54446;531,90221
2,04000;-28,54279;536,49093
2,06000;-28,54112;540,04071
2,08000;-28,53944;543,57499
2,10000;-28,53783;546,90549
2,12000;-28,53615;550,30319
2,14000;-28,53454;554,28357
2,16000;-28,53280;557,66297
2,18000;-28,53113;560,97358
2,20000;-28,52946;564,26795
2,22000;-28,52778;567,31808
2,24000;-28,52617;570,33426
2,26000;-28,52455;573,49438
2,28000;-28,52288;576,31610
2,30000;-28,52121;579,53037
2,32000;-28,51953;581,69346
2,34000;-28,51786;584,74480
2,36000;-28,51612;587,91931
2,38000;-28,51457;590,27812
2,40000;-28,51289;592,88680
2,42000;-28,51116;595,52114
2,44000;-28,50949;598,39040
2,46000;-28,50781;601,31960
2,48000;-28,50608;603,65158
2,50000;-28,50446;605,92173
2,52000;-28,50279;607,70335
2,54000;-28,50106;609,32431
2,56000;-28,49944;611,56512
2,58000;-28,49777;613,32663
2,60000;-28,49609;614,86079
2,62000;-28,49448;616,81401
2,64000;-28,49281;618,97133
2,66000;-28,49113;620,85665
2,68000;-28,48946;622,20641
2,70000;-28,48784;624,33043
2,72000;-28,48611;626,97455
2,74000;-28,48444;630,60638
2,76000;-28,48282;635,82072
2,78000;-28,48115;640,54183
2,80000;-28,47947;645,52999
2,82000;-28,47786;651,02819
2,84000;-28,47618;656,99480
2,86000;-28,47445;663,70084
2,88000;-28,47284;671,10322
2,90000;-28,47116;678,00926
2,92000;-28,46949;685,23758
2,94000;-28,46787;693,08123
2,96000;-28,46620;700,70508
2,98000;-28,46453;708,59445
3,00000;-28,46285;716,49635
3,02000;-28,46118;724,53152
3,04000;-28,45950;732,35221
3,06000;-28,45777;740,15083
3,08000;-28,45610;748,49888
3,10000;-28,45442;755,95989
3,12000;-28,45281;763,59003
3,14000;-28,45119;771,08257
3,16000;-28,44952;778,37603
3,18000;-28,44778;786,29786
3,20000;-28,44611;794,23105
3,22000;-28,44444;801,47199
3,24000;-28,44282;808,63694
3,26000;-28,44121;815,73538
3,28000;-28,43953;823,47486
3,30000;-28,43792;831,90529
3,32000;-28,43619;839,71601
3,34000;-28,43451;846,89101
3,36000;-28,43284;853,92082
3,38000;-28,43122;861,40083
3,40000;-28,42961;869,16173
3,42000;-28,42787;877,12370
3,44000;-28,42620;885,13130
3,46000;-28,42453;893,18473
3,48000;-28,42279;900,85212
3,50000;-28,42118;908,02442
3,52000;-28,41956;916,06090
3,54000;-28,41789;923,66748
3,56000;-28,41622;931,18446
3,58000;-28,41448;939,13060
3,60000;-28,41281;947,31627
3,62000;-28,41113;955,36644
3,64000;-28,40952;963,29562
3,66000;-28,40785;970,51067
3,68000;-28,40617;977,58258
3,70000;-28,40450;985,62865
3,72000;-28,40276;993,40705
3,74000;-28,40109;1001,62057
3,76000;-28,39942;1010,07242
3,78000;-28,39774;1017,22497
3,80000;-28,39613;1024,29967
3,82000;-28,39457;1032,07314
3,84000;-28,39284;1039,60056
3,86000;-28,39116;1047,62614
3,88000;-28,38955;1055,97693
3,90000;-28,38788;1064,08363
3,92000;-28,38620;1071,39256
3,94000;-28,38459;1079,17823
3,96000;-28,38291;1087,01568
3,98000;-28,38118;1094,90082
4,00000;-28,37951;1102,81836
4,02000;-28,37789;1110,28412
4,04000;-28,37616;1117,06797
4,06000;-28,37448;1124,71944
4,08000;-28,37281;1132,33058
4,10000;-28,37113;1140,12528
4,12000;-28,36958;1147,22596
4,14000;-28,36791;1154,79389
4,16000;-28,36617;1162,91521
4,18000;-28,36450;1171,63658
4,20000;-28,36282;1178,79668
4,22000;-28,36109;1186,01536
4,24000;-28,35942;1193,42469
4,26000;-28,35786;1201,20477
4,28000;-28,35619;1208,29567
4,30000;-28,35445;1215,92404
4,32000;-28,35278;1223,62729
4,34000;-28,35111;1231,49073
4,36000;-28,34943;1238,82741
4,38000;-28,34782;1246,05447
4,40000;-28,34620;1252,64507
4,42000;-28,34453;1259,58556
4,44000;-28,34285;1267,35475
4,46000;-28,34118;1275,45334
4,48000;-28,33951;1283,49736
4,50000;-28,33783;1291,07656
4,52000;-28,33616;1298,21375
4,54000;-28,33454;1305,03559
4,56000;-28,33287;1312,34508
4,58000;-28,33120;1319,94290
4,60000;-28,32946;1327,45942
4,62000;-28,32779;1335,08053
4,64000;-28,32617;1342,01227
4,66000;-28,32450;1349,12105
4,68000;-28,32283;1356,21531
4,70000;-28,32121;1363,80624
4,72000;-28,31948;1371,62777
4,74000;-28,31780;1379,24794
4,76000;-28,31619;1386,96972
4,78000;-28,31451;1394,14174
4,80000;-28,31278;1400,97784
4,82000;-28,31117;1408,12052
4,84000;-28,30949;1416,21595
4,86000;-28,30782;1423,82029
4,88000;-28,30608;1431,28037
4,90000;-28,30447;1438,67237
4,92000;-28,30280;1446,02619
4,94000;-28,30112;1453,28045
4,96000;-28,29939;1460,53769
4,98000;-28,29783;1467,67600
5,00000;-28,29610;1474,49840
5,02000;-28,29449;1481,93194
5,04000;-28,29281;1489,40105
5,06000;-28,29114;1496,87976
5,08000;-28,28946;1504,96960
5,10000;-28,28773;1512,11768
5,12000;-28,28611;1518,68919
5,14000;-28,28450;1525,52044
5,16000;-28,28283;1532,70485
5,18000;-28,28109;1539,66378
5,20000;-28,27942;1546,54514
5,22000;-28,27774;1553,24135
5,24000;-28,27607;1559,13560
5,26000;-28,27446;1564,76609
5,28000;-28,27284;1570,48889
5,30000;-28,27117;1575,97177
5,32000;-28,26949;1581,40808
5,34000;-28,26782;1587,17725
5,36000;-28,26608;1592,89930
5,38000;-28,26441;1598,50959
5,40000;-28,26279;1602,83223
5,42000;-28,26112;1606,80097
5,44000;-28,25951;1611,28584
5,46000;-28,25783;1615,61780
5,48000;-28,25610;1620,39977
5,50000;-28,25442;1625,07650
5,52000;-28,25281;1629,66456
5,54000;-28,25114;1633,66646
5,56000;-28,24952;1637,24590
5,58000;-28,24785;1641,04123
5,60000;-28,24618;1645,34114
5,62000;-28,24450;1649,70644
5,64000;-28,24289;1654,58210
5,66000;-28,24115;1658,24406
5,68000;-28,23948;1661,55398
5,70000;-28,23786;1665,06823
5,72000;-28,23619;1669,03846
5,74000;-28,23445;1672,96845
5,76000;-28,23284;1677,29184
5,78000;-28,23117;1681,05420
5,80000;-28,22943;1684,70796
5,82000;-28,22776;1688,42915
5,84000;-28,22615;1691,50233
5,86000;-28,22453;1694,44848
5,88000;-28,22286;1697,93162
5,90000;-28,22124;1701,81673
5,92000;-28,21951;1705,18290
5,94000;-28,21784;1709,25744
5,96000;-28,21616;1712,66384
5,98000;-28,21448;1715,19462
6,00000;-28,21281;1717,98076
6,02000;-28,21120;1721,56915
6,04000;-28,20958;1725,04019
6,06000;-28,20779;1729,89853
6,08000;-28,20611;1734,01907
6,10000;-28,20450;1737,27944
6,12000;-28,20283;1740,04845
6,14000;-28,20121;1742,91078
6,16000;-28,19954;1745,74163
6,18000;-28,19786;1748,82263
6,20000;-28,19613;1752,36035
6,22000;-28,19446;1755,84741
6,24000;-28,19278;1759,02303
6,26000;-28,19117;1761,93770
6,28000;-28,18961;1764,12202
6,30000;-28,18794;1766,41718
6,32000;-28,18614;1770,73069
6,34000;-28,18447;1775,32062
6,36000;-28,18274;1778,74472
6,38000;-28,18112;1781,77450
6,40000;-28,17945;1784,70984
6,42000;-28,17777;1787,69156
6,44000;-28,17616;1790,32832
6,46000;-28,17455;1792,98371
6,48000;-28,17275;1796,62295
6,50000;-28,17096;1802,15128
6,52000;-28,16940;1806,15019
6,54000;-28,16773;1808,12050
6,56000;-28,16606;1810,25621
6,58000;-28,16444;1812,66312
6,60000;-28,16283;1815,71059
6,62000;-28,16116;1818,84952
6,64000;-28,15948;1821,84782
6,66000;-28,15787;1823,88332
6,68000;-28,15613;1826,44837
6,70000;-28,15452;1829,17155
6,72000;-28,15290;1832,37679
6,74000;-28,15117;1836,17733
6,76000;-28,14949;1839,28944
6,78000;-28,14782;1842,34753
6,80000;-28,14615;1845,24115
6,82000;-28,14447;1848,07014
6,84000;-28,14280;1850,66089
6,86000;-28,14124;1852,79716
6,88000;-28,13957;1855,46335
6,90000;-28,13778;1860,07284
6,92000;-28,13610;1865,41844
6,94000;-28,13449;1868,24668
6,96000;-28,13275;1870,22462
6,98000;-28,13108;1872,76062
7,00000;-28,12941;1875,02038
7,02000;-28,12779;1877,96038
7,04000;-28,12612;1880,67816
7,06000;-28,12438;1884,06352
7,08000;-28,12271;1886,75486
7,10000;-28,12104;1889,20312
7,12000;-28,11936;1892,27145
7,14000;-28,11775;1894,39934
7,16000;-28,11613;1897,48053
7,18000;-28,11446;1899,94834
7,20000;-28,11278;1902,84122
7,22000;-28,11129;1906,20385
7,24000;-28,10938;1910,18544
7,26000;-28,10776;1914,25811
7,28000;-28,10615;1917,21413
7,30000;-28,10453;1919,44595
7,32000;-28,10286;1921,51256
7,34000;-28,10112;1924,57289
7,36000;-28,09945;1928,10297
7,38000;-28,09778;1931,75171
7,40000;-28,09616;1935,06870
7,42000;-28,09455;1937,76097
7,44000;-28,09287;1940,16583
7,46000;-28,09120;1943,47017
7,48000;-28,08953;1947,48193
7,50000;-28,08785;1950,91348
7,52000;-28,08618;1954,20291
7,54000;-28,08450;1957,00899
