Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-37,73465;54,25104
0,02000;-37,73459;54,31002
0,04000;-37,73411;54,20372
0,06000;-37,73321;56,03298
0,08000;-37,73190;61,00759
0,10000;-37,73034;68,86062
0,12000;-37,72861;78,44937
0,14000;-37,72676;88,57565
0,16000;-37,72484;99,79322
0,18000;-37,72299;110,71215
0,20000;-37,72102;121,14877
0,22000;-37,71910;132,26233
0,24000;-37,71719;142,84027
0,26000;-37,71528;153,31014
0,28000;-37,71336;163,12202
0,30000;-37,71157;173,26055
0,32000;-37,70972;183,03972
0,34000;-37,70792;192,41483
0,36000;-37,70619;201,68270
0,38000;-37,70434;211,43444
0,40000;-37,70266;221,02734
0,42000;-37,70093;229,84440
0,44000;-37,69919;238,28996
0,46000;-37,69740;246,86786
0,48000;-37,69567;254,70930
0,50000;-37,69393;262,44470
0,52000;-37,69226;269,78266
0,54000;-37,69064;276,98623
0,56000;-37,68891;283,76740
0,58000;-37,68718;290,29553
0,60000;-37,68550;296,33367
0,62000;-37,68383;302,76494
0,64000;-37,68209;309,70110
0,66000;-37,68048;316,86150
0,68000;-37,67881;323,78177
0,70000;-37,67713;330,96729
0,72000;-37,67546;337,63535
0,74000;-37,67378;343,99715
0,76000;-37,67205;351,16393
0,78000;-37,67044;358,17276
0,80000;-37,66876;365,53687
0,82000;-37,66709;372,78666
0,84000;-37,66541;379,58554
0,86000;-37,66374;386,70988
0,88000;-37,66201;393,81455
0,90000;-37,66039;401,18648
0,92000;-37,65878;407,81233
0,94000;-37,65710;414,29927
0,96000;-37,65543;420,88209
0,98000;-37,65375;427,19766
1,00000;-37,65208;433,99553
1,02000;-37,65041;441,21463
1,04000;-37,64879;447,55093
1,06000;-37,64706;452,91116
1,08000;-37,64538;458,67683
1,10000;-37,64371;464,58384
1,12000;-37,64204;470,69974
1,14000;-37,64036;476,85341
1,16000;-37,63875;482,63147
1,18000;-37,63707;488,21764
1,20000;-37,63540;493,33666
1,22000;-37,63372;497,93790
1,24000;-37,63211;502,48820
1,26000;-37,63038;506,77699
1,28000;-37,62876;511,30950
1,30000;-37,62715;515,21906
1,32000;-37,62541;519,55413
1,34000;-37,62374;523,28617
1,36000;-37,62213;527,14893
1,38000;-37,62039;530,71701
1,40000;-37,61872;534,38372
1,42000;-37,61710;537,94184
1,44000;-37,61537;540,71425
1,46000;-37,61376;543,71050
1,48000;-37,61208;546,86493
1,50000;-37,61041;549,54342
1,52000;-37,60867;551,63298
1,54000;-37,60706;554,34750
1,56000;-37,60539;556,25830
1,58000;-37,60371;557,40583
1,60000;-37,60204;558,76141
1,62000;-37,60042;560,39989
1,64000;-37,59869;562,18095
1,66000;-37,59707;563,64099
1,68000;-37,59534;564,01379
1,70000;-37,59366;563,49710
1,72000;-37,59199;563,85132
1,74000;-37,59032;562,94450
1,76000;-37,58870;561,88214
1,78000;-37,58703;559,49665
1,80000;-37,58535;557,37626
1,82000;-37,58368;554,83403
1,84000;-37,58200;551,74353
1,86000;-37,58033;547,99956
1,88000;-37,57866;544,15725
1,90000;-37,57704;540,93967
1,92000;-37,57543;538,08354
1,94000;-37,57381;534,56938
1,96000;-37,57190;532,38478
1,98000;-37,57029;530,34597
2,00000;-37,56861;526,97188
2,02000;-37,56694;523,05679
2,04000;-37,56538;519,18407
2,06000;-37,56377;515,85492
2,08000;-37,56210;513,58207
2,10000;-37,56042;511,81959
2,12000;-37,55875;509,63457
2,14000;-37,55701;507,49579
2,16000;-37,55534;504,89935
2,18000;-37,55379;502,13039
2,20000;-37,55205;500,71492
2,22000;-37,55044;500,39692
2,24000;-37,54864;500,27040
2,26000;-37,54697;500,27501
2,28000;-37,54530;500,91450
2,30000;-37,54368;501,26221
2,32000;-37,54201;502,05439
2,34000;-37,54033;504,68901
2,36000;-37,53866;511,38001
2,38000;-37,53698;520,62804
2,40000;-37,53531;530,95380
2,42000;-37,53370;541,90936
2,44000;-37,53202;552,43834
2,46000;-37,53035;562,41383
2,48000;-37,52879;571,60584
2,50000;-37,52706;579,62965
2,52000;-37,52532;587,10566
2,54000;-37,52371;593,60471
2,56000;-37,52210;599,05127
2,58000;-37,52036;603,82197
2,60000;-37,51875;609,74793
2,62000;-37,51713;615,27216
