Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-29,93212;55,07296
0,02000;-29,93206;54,94007
0,04000;-29,93164;54,99516
0,06000;-29,93074;57,14732
0,08000;-29,92943;63,10280
0,10000;-29,92787;72,67583
0,12000;-29,92614;83,85956
0,14000;-29,92435;96,05815
0,16000;-29,92249;108,27465
0,18000;-29,92088;120,74843
0,20000;-29,91849;134,08378
0,22000;-29,91657;148,99920
0,24000;-29,91472;162,04747
0,26000;-29,91293;173,49763
0,28000;-29,91101;184,11597
0,30000;-29,90916;194,41313
0,32000;-29,90737;205,10363
0,34000;-29,90551;215,26513
0,36000;-29,90372;225,24681
0,38000;-29,90199;233,88846
0,40000;-29,90013;235,72315
0,42000;-29,89840;159,96107
0,44000;-29,89660;82,92822
0,46000;-29,89487;61,29814
0,48000;-29,89314;73,00390
0,50000;-29,89170;90,88601
0,52000;-29,88979;107,19826
0,54000;-29,88793;122,97408
0,56000;-29,88632;138,24106
0,58000;-29,88459;151,81778
0,60000;-29,88297;164,08634
0,62000;-29,88136;175,86930
0,64000;-29,87962;186,04954
0,66000;-29,87801;196,54292
0,68000;-29,87634;207,37678
0,70000;-29,87460;217,50708
0,72000;-29,87293;228,05384
0,74000;-29,87131;237,75585
0,76000;-29,86970;246,83373
0,78000;-29,86802;256,22093
0,80000;-29,86629;265,28153
0,82000;-29,86462;274,24882
0,84000;-29,86294;283,53212
0,86000;-29,86139;292,18593
0,88000;-29,86001;300,59949
0,90000;-29,85798;309,43383
0,92000;-29,85625;318,93165
0,94000;-29,85463;327,82489
0,96000;-29,85296;335,27955
0,98000;-29,85128;343,57766
1,00000;-29,84967;351,78065
1,02000;-29,84799;359,44658
1,04000;-29,84632;367,38049
1,06000;-29,84465;375,46416
1,08000;-29,84291;382,57011
1,10000;-29,84130;390,15554
1,12000;-29,83968;397,81481
1,14000;-29,83801;405,33179
1,16000;-29,83634;412,62265
1,18000;-29,83466;420,34141
1,20000;-29,83299;427,29615
1,22000;-29,83131;434,66403
1,24000;-29,82964;441,63237
1,26000;-29,82802;447,48951
1,28000;-29,82635;453,65868
1,30000;-29,82474;461,16635
1,32000;-29,82288;469,16464
1,34000;-29,82121;477,30808
1,36000;-29,81959;484,71829
1,38000;-29,81798;490,32606
1,40000;-29,81631;496,56080
1,42000;-29,81463;502,81603
1,44000;-29,81296;509,07047
1,46000;-29,81128;515,71745
1,48000;-29,80961;522,31573
1,50000;-29,80800;528,08900
1,52000;-29,80632;534,00910
1,54000;-29,80471;540,93688
1,56000;-29,80303;547,13818
1,58000;-29,80130;553,83840
1,60000;-29,79962;559,88850
1,62000;-29,79801;565,92692
1,64000;-29,79628;572,50555
1,66000;-29,79460;578,96208
1,68000;-29,79293;584,21451
1,70000;-29,79131;589,09878
1,72000;-29,78964;594,53016
1,74000;-29,78803;600,61156
1,76000;-29,78635;605,91879
1,78000;-29,78462;611,09848
1,80000;-29,78294;616,22155
1,82000;-29,78127;621,04333
1,84000;-29,77966;625,56877
1,86000;-29,77804;629,81648
1,88000;-29,77637;634,02704
1,90000;-29,77463;638,56137
1,92000;-29,77296;643,38315
1,94000;-29,77128;647,79972
1,96000;-29,76961;651,97470
1,98000;-29,76800;655,49705
2,00000;-29,76638;659,16502
2,02000;-29,76471;663,60785
2,04000;-29,76297;667,96336
2,06000;-29,76130;672,94030
2,08000;-29,75957;678,16810
2,10000;-29,75795;681,46805
2,12000;-29,75634;685,07916
2,14000;-29,75466;689,30080
2,16000;-29,75299;693,40449
2,18000;-29,75132;697,00107
2,20000;-29,74958;700,73367
2,22000;-29,74791;704,95722
2,24000;-29,74635;708,80814
2,26000;-29,74468;711,82763
2,28000;-29,74300;714,58649
2,30000;-29,74133;718,66834
2,32000;-29,73966;722,92010
2,34000;-29,73792;726,67422
