Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;0,01453;51,66971
0,02000;0,01465;51,70690
0,04000;0,01519;51,61333
0,06000;0,01620;53,56293
0,08000;0,01758;58,41163
0,10000;0,01907;65,44904
0,12000;0,02075;74,21646
0,14000;0,02260;82,84981
0,16000;0,02451;92,30099
0,18000;0,02643;102,10930
0,20000;0,02828;112,04740
0,22000;0,03013;121,87891
0,24000;0,03205;131,87041
0,26000;0,03402;141,91333
0,28000;0,03587;150,55165
0,30000;0,03773;140,92651
0,32000;0,03952;106,33526
0,34000;0,04131;80,61260
0,36000;0,04317;69,82387
0,38000;0,04490;78,93133
0,40000;0,04676;92,98602
0,42000;0,04849;98,07067
0,44000;0,05016;109,11715
0,46000;0,05184;117,02921
0,48000;0,05357;126,20393
0,50000;0,05531;136,06836
0,52000;0,05704;145,21881
0,54000;0,05877;153,89513
0,56000;0,06045;163,08750
0,58000;0,06212;170,97258
0,60000;0,06386;179,40315
0,62000;0,06547;188,06555
0,64000;0,06720;196,53323
0,66000;0,06888;204,28223
0,68000;0,07055;212,61300
0,70000;0,07217;220,46100
0,72000;0,07384;227,94320
0,74000;0,07545;235,82294
0,76000;0,07713;244,18994
0,78000;0,07880;252,09333
0,80000;0,08054;260,27162
0,82000;0,08215;267,82854
0,84000;0,08382;275,54643
0,86000;0,08550;283,40924
0,88000;0,08717;291,11814
0,90000;0,08885;298,85427
0,92000;0,09058;306,86161
0,94000;0,09226;315,96159
0,96000;0,09387;324,08703
0,98000;0,09554;331,85307
1,00000;0,09722;339,01073
1,02000;0,09889;346,35086
1,04000;0,10051;353,96123
1,06000;0,10224;362,10064
1,08000;0,10385;369,86254
1,10000;0,10553;377,72253
1,12000;0,10726;386,15779
1,14000;0,10894;394,39141
1,16000;0,11061;402,33089
1,18000;0,11228;409,85704
1,20000;0,11390;416,68294
1,22000;0,11557;424,44216
1,24000;0,11731;432,87883
1,26000;0,11898;440,85653
1,28000;0,12060;447,62203
1,30000;0,12227;454,53697
1,32000;0,12388;461,62275
1,34000;0,12550;469,34700
1,36000;0,12723;477,27749
1,38000;0,12891;485,07564
1,40000;0,13052;492,74010
1,42000;0,13225;500,24069
1,44000;0,13393;507,68438
1,46000;0,13548;515,50190
1,48000;0,13716;522,61185
1,50000;0,13889;529,72706
1,52000;0,14057;537,52991
1,54000;0,14224;545,28024
1,56000;0,14391;553,11294
1,58000;0,14547;560,43533
1,60000;0,14714;567,39268
1,62000;0,14882;574,19022
1,64000;0,15049;581,88513
1,66000;0,15216;589,39867
1,68000;0,15390;597,11020
1,70000;0,15551;605,22952
1,72000;0,15719;611,92266
1,74000;0,15892;618,79689
1,76000;0,16053;626,46694
1,78000;0,16221;633,75873
1,80000;0,16388;640,54346
1,82000;0,16556;648,00712
1,84000;0,16723;654,34724
1,86000;0,16897;661,61356
1,88000;0,17058;668,71773
1,90000;0,17219;674,78865
1,92000;0,17387;681,36859
1,94000;0,17548;687,97860
1,96000;0,17710;694,68301
1,98000;0,17883;701,31300
2,00000;0,18050;708,57913
2,02000;0,18218;715,21020
2,04000;0,18379;721,85039
2,06000;0,18547;728,10058
2,08000;0,18708;733,59436
2,10000;0,18882;739,55888
2,12000;0,19049;745,27469
2,14000;0,19216;750,91771
2,16000;0,19384;756,40306
2,18000;0,19545;761,53344
2,20000;0,19707;766,17077
2,22000;0,19874;771,52611
2,24000;0,20041;776,18961
2,26000;0,20215;780,85125
2,28000;0,20382;785,68039
2,30000;0,20550;790,34725
2,32000;0,20717;794,08176
2,34000;0,20878;798,24599
2,36000;0,21046;802,18744
2,38000;0,21219;806,24567
2,40000;0,21387;810,21097
2,42000;0,21554;814,09449
2,44000;0,21716;817,90052
2,46000;0,21883;821,14572
2,48000;0,22050;824,68996
2,50000;0,22218;828,32435
2,52000;0,22385;832,28322
2,54000;0,22553;836,44241
2,56000;0,22720;840,01506
2,58000;0,22887;843,84838
2,60000;0,23055;847,03658
2,62000;0,23222;850,10016
2,64000;0,23390;854,18792
2,66000;0,23557;857,90800
2,68000;0,23730;861,61010
2,70000;0,23892;864,64155
2,72000;0,24053;867,41168
2,74000;0,24221;870,28863
2,76000;0,24388;873,48772
2,78000;0,24556;876,79699
2,80000;0,24723;879,59832
2,82000;0,24890;882,51336
2,84000;0,25052;885,84917
2,86000;0,25219;889,15853
2,88000;0,25387;892,48726
2,90000;0,25554;895,43536
2,92000;0,25721;899,19092
