Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-30,65790;47,50367
0,02000;-30,65784;46,91629
0,04000;-30,65731;47,30527
0,06000;-30,65635;49,13392
0,08000;-30,65503;52,37659
0,10000;-30,65348;57,25787
0,12000;-30,65175;62,79240
0,14000;-30,64989;68,46726
0,16000;-30,64798;75,22278
0,18000;-30,64601;81,80062
0,20000;-30,64409;88,92935
0,22000;-30,64218;95,90116
0,24000;-30,64027;102,86502
0,26000;-30,63841;109,63298
0,28000;-30,63650;116,70722
0,30000;-30,63458;124,34637
0,32000;-30,63279;132,05451
0,34000;-30,63094;138,56144
0,36000;-30,62920;144,90722
0,38000;-30,62741;150,38901
0,40000;-30,62562;154,76742
0,42000;-30,62388;126,10191
0,44000;-30,62221;83,00178
0,46000;-30,62035;65,79881
0,48000;-30,61868;67,77935
0,50000;-30,61701;77,38200
0,52000;-30,61527;87,18458
0,54000;-30,61354;95,79593
0,56000;-30,61193;105,08769
0,58000;-30,61013;113,30008
0,60000;-30,60846;122,50494
0,62000;-30,60678;131,06350
0,64000;-30,60517;138,74407
0,66000;-30,60343;146,58569
0,68000;-30,60206;154,29838
0,70000;-30,60009;161,83784
0,72000;-30,59841;169,42983
0,74000;-30,59674;176,44904
0,76000;-30,59507;182,64175
0,78000;-30,59345;188,49348
0,80000;-30,59178;195,17066
0,82000;-30,59010;202,05779
0,84000;-30,58843;208,08305
0,86000;-30,58675;214,54722
0,88000;-30,58508;221,52201
0,90000;-30,58335;228,27245
0,92000;-30,58173;235,30277
0,94000;-30,58012;241,15278
0,96000;-30,57862;247,14596
0,98000;-30,57671;254,07067
1,00000;-30,57503;261,15151
1,02000;-30,57336;267,97089
1,04000;-30,57169;274,81366
1,06000;-30,57013;281,16875
1,08000;-30,56846;287,44696
1,10000;-30,56672;294,35751
1,12000;-30,56505;301,48644
1,14000;-30,56332;308,28011
1,16000;-30,56164;315,18321
1,18000;-30,56003;321,57369
1,20000;-30,55835;327,73102
1,22000;-30,55674;334,35978
1,24000;-30,55507;340,55968
1,26000;-30,55339;347,44530
1,28000;-30,55172;353,32632
1,30000;-30,55004;359,48672
1,32000;-30,54843;365,61941
1,34000;-30,54675;371,13475
1,36000;-30,54544;377,19251
