Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;0,01632;53,86533
0,02000;0,01638;53,31782
0,04000;0,01686;53,53980
0,06000;0,01782;55,51504
0,08000;0,01907;59,78565
0,10000;0,02063;66,35866
0,12000;0,02224;73,69378
0,14000;0,02410;80,37780
0,16000;0,02595;87,60730
0,18000;0,02780;95,65377
0,20000;0,02972;103,39271
0,22000;0,03163;110,12711
0,24000;0,03348;117,06789
0,26000;0,03540;124,03355
0,28000;0,03731;131,69026
0,30000;0,03910;138,70100
0,32000;0,04096;145,93067
0,34000;0,04269;152,91155
0,36000;0,04448;159,75056
0,38000;0,04622;167,27393
0,40000;0,04807;174,27396
0,42000;0,04980;164,46413
0,44000;0,05148;111,99798
0,46000;0,05315;84,82033
0,48000;0,05489;91,74685
0,50000;0,05662;94,34657
0,52000;0,05829;99,44361
0,54000;0,06003;110,79282
0,56000;0,06176;116,95308
0,58000;0,06338;122,82380
0,60000;0,06505;133,25516
0,62000;0,06678;138,28772
0,64000;0,06846;143,42200
0,66000;0,07013;153,40174
0,68000;0,07181;158,79093
0,70000;0,07348;164,37961
0,72000;0,07510;173,29366
0,74000;0,07677;178,75963
0,76000;0,07844;184,76314
0,78000;0,08012;191,91833
0,80000;0,08179;198,31376
0,82000;0,08347;205,80667
0,84000;0,08508;212,68879
0,86000;0,08681;219,40651
0,88000;0,08849;226,56941
0,90000;0,09016;234,01389
0,92000;0,09184;241,64831
0,94000;0,09351;249,98265
0,96000;0,09513;258,12676
0,98000;0,09674;265,81388
1,00000;0,09847;274,83108
1,02000;0,10015;283,39913
1,04000;0,10182;291,94006
1,06000;0,10350;300,60248
1,08000;0,10517;308,62261
1,10000;0,10678;317,24109
1,12000;0,10846;326,13894
1,14000;0,11013;334,72963
1,16000;0,11187;343,80923
1,18000;0,11354;353,08998
1,20000;0,11521;362,29156
1,22000;0,11683;371,00415
1,24000;0,11850;379,26461
1,26000;0,12012;388,89130
1,28000;0,12185;397,54533
1,30000;0,12353;406,10456
1,32000;0,12526;415,65849
1,34000;0,12687;425,12957
1,36000;0,12855;434,31390
1,38000;0,13022;443,01641
1,40000;0,13190;452,48293
1,42000;0,13357;461,77562
1,44000;0,13530;471,21109
1,46000;0,13692;480,69931
1,48000;0,13853;489,55795
1,50000;0,14021;498,72212
1,52000;0,14182;507,47418
1,54000;0,14349;516,26875
1,56000;0,14523;524,87771
1,58000;0,14684;533,94781
1,60000;0,14846;542,52753
1,62000;0,15019;550,25788
1,64000;0,15187;558,43019
1,66000;0,15348;566,74951
1,68000;0,15515;574,60531
1,70000;0,15683;582,20509
1,72000;0,15850;589,62042
1,74000;0,16018;597,11337
1,76000;0,16185;604,15827
1,78000;0,16352;611,28065
1,80000;0,16520;617,11455
1,82000;0,16687;623,13867
1,84000;0,16849;629,22933
1,86000;0,17016;635,09094
1,88000;0,17183;640,34802
1,90000;0,17357;645,41413
1,92000;0,17524;650,60658
1,94000;0,17686;655,85002
1,96000;0,17847;660,68228
1,98000;0,18015;665,35980
2,00000;0,18188;670,37037
2,02000;0,18355;676,18205
2,04000;0,18529;681,34931
2,06000;0,18696;686,63638
2,08000;0,18858;692,04876
2,10000;0,19013;696,26835
2,12000;0,19180;700,77125
2,14000;0,19348;706,09013
2,16000;0,19515;711,90600
2,18000;0,19689;717,20774
2,20000;0,19856;722,61947
2,22000;0,20012;727,95986
2,24000;0,20179;732,92856
2,26000;0,20346;738,32762
2,28000;0,20514;743,88105
2,30000;0,20681;749,70955
2,32000;0,20855;755,28510
2,34000;0,21016;760,07145
2,36000;0,21177;764,05550
2,38000;0,21345;768,71226
2,40000;0,21512;773,96277
2,42000;0,21680;779,00467
2,44000;0,21853;784,75801
2,46000;0,22020;790,46767
2,48000;0,22182;795,01858
2,50000;0,22343;799,75240
2,52000;0,22511;805,19849
2,54000;0,22678;811,02718
2,56000;0,22846;816,77958
2,58000;0,23013;822,39378
2,60000;0,23180;828,34773
2,62000;0,23342;833,71829
2,64000;0,23509;839,04630
2,66000;0,23677;844,05625
2,68000;0,23844;849,77401
2,70000;0,24011;855,93546
2,72000;0,24173;861,92945
2,74000;0,24340;867,84437
2,76000;0,24514;873,74179
2,78000;0,24675;880,18617
2,80000;0,24837;886,01215
2,82000;0,25004;891,63929
2,84000;0,25171;898,36484
2,86000;0,25333;904,84405
2,88000;0,25506;911,24047
2,90000;0,25674;917,53965
2,92000;0,25841;923,74068
2,94000;0,26008;930,58683
2,96000;0,26176;937,87741
2,98000;0,26337;944,82014
3,00000;0,26511;951,79388
3,02000;0,26678;958,58136
3,04000;0,26845;966,21653
3,06000;0,27019;972,87744
3,08000;0,27180;979,67498
3,10000;0,27336;987,20957
3,12000;0,27509;994,35262
3,14000;0,27677;1000,68916
3,16000;0,27850;1008,20698
3,18000;0,28017;1015,93109
