Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-28,84760;59,96989
0,02000;-28,84754;60,32239
0,04000;-28,84706;60,72831
0,06000;-28,84610;61,89216
0,08000;-28,84473;67,10543
0,10000;-28,84311;75,83963
0,12000;-28,84126;87,13403
0,14000;-28,83947;98,19692
0,16000;-28,83761;108,98104
0,18000;-28,83570;119,60800
0,20000;-28,83379;130,69238
0,22000;-28,83181;141,39577
0,24000;-28,82984;152,78755
0,26000;-28,82798;164,15520
0,28000;-28,82613;174,82647
0,30000;-28,82434;185,12760
0,32000;-28,82248;195,29046
0,34000;-28,82069;205,06836
0,36000;-28,81884;214,77984
0,38000;-28,81710;224,35586
0,40000;-28,81531;234,20849
0,42000;-28,81352;244,24731
0,44000;-28,81184;253,31909
0,46000;-28,81011;262,29450
0,48000;-28,80838;271,64104
0,50000;-28,80670;280,90167
0,52000;-28,80497;290,06703
0,54000;-28,80329;298,71946
0,56000;-28,80162;307,56916
0,58000;-28,79989;316,14844
0,60000;-28,79821;324,84417
0,62000;-28,79654;333,51637
0,64000;-28,79486;341,40784
0,66000;-28,79313;349,95829
0,68000;-28,79146;358,32010
0,70000;-28,78978;366,54102
0,72000;-28,78811;373,60124
0,74000;-28,78649;380,89368
0,76000;-28,78482;388,19388
0,78000;-28,78309;394,96683
0,80000;-28,78141;402,23179
0,82000;-28,77980;407,15667
0,84000;-28,77806;412,47606
0,86000;-28,77645;418,08952
0,88000;-28,77477;425,01008
0,90000;-28,77316;431,87859
0,92000;-28,77143;439,01703
0,94000;-28,76969;445,60814
0,96000;-28,76802;452,40764
0,98000;-28,76640;458,54235
1,00000;-28,76473;465,18040
1,02000;-28,76312;471,68657
1,04000;-28,76144;478,62562
1,06000;-28,75976;484,77976
1,08000;-28,75809;490,84262
1,10000;-28,75636;496,56066
1,12000;-28,75480;502,70380
1,14000;-28,75313;508,91368
1,16000;-28,75146;514,63791
1,18000;-28,74984;520,79665
1,20000;-28,74811;526,94664
1,22000;-28,74637;532,79367
1,24000;-28,74470;538,86985
1,26000;-28,74308;545,01863
1,28000;-28,74141;551,30473
1,30000;-28,73980;556,79530
1,32000;-28,73818;562,34598
1,34000;-28,73633;569,09183
1,36000;-28,73471;576,84635
1,38000;-28,73310;583,31424
1,40000;-28,73137;587,97924
