Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-27,06342;68,77854
0,02000;-27,06336;68,46443
0,04000;-27,06294;68,28933
0,06000;-27,06204;70,83229
0,08000;-27,06079;76,88599
0,10000;-27,05923;86,62388
0,12000;-27,05756;99,31824
0,14000;-27,05571;114,06766
0,16000;-27,05385;129,54099
0,18000;-27,05200;145,74737
0,20000;-27,05002;161,78879
0,22000;-27,04805;178,13017
0,24000;-27,04608;194,49069
0,26000;-27,04417;209,29964
0,28000;-27,04237;224,00657
0,30000;-27,04052;237,56751
0,32000;-27,03866;250,71451
0,34000;-27,03681;263,94024
0,36000;-27,03502;276,10909
0,38000;-27,03322;287,33758
0,40000;-27,03149;298,96465
0,42000;-27,02976;309,16389
0,44000;-27,02802;319,02478
0,46000;-27,02629;330,18296
0,48000;-27,02450;340,76637
0,50000;-27,02276;351,26891
0,52000;-27,02109;361,26210
0,54000;-27,01941;369,83178
0,56000;-27,01774;378,08171
0,58000;-27,01601;386,60744
0,60000;-27,01433;394,82415
0,62000;-27,01260;402,56828
0,64000;-27,01098;409,27534
0,66000;-27,00931;414,81652
0,68000;-27,00764;419,19216
0,70000;-27,00596;423,26939
0,72000;-27,00429;427,02225
0,74000;-27,00261;429,72192
0,76000;-27,00094;432,39715
0,78000;-26,99926;434,35157
0,80000;-26,99759;435,37198
0,82000;-26,99591;436,00993
0,84000;-26,99424;436,64803
0,86000;-26,99257;437,42824
0,88000;-26,99089;440,15804
0,90000;-26,98928;443,74396
0,92000;-26,98761;447,99619
0,94000;-26,98593;452,14263
0,96000;-26,98426;456,33437
0,98000;-26,98252;460,61077
1,00000;-26,98091;464,21071
1,02000;-26,97930;468,07141
1,04000;-26,97756;472,37985
1,06000;-26,97583;476,67008
1,08000;-26,97415;481,37102
1,10000;-26,97248;485,35052
1,12000;-26,97081;489,19269
1,14000;-26,96919;492,55397
1,16000;-26,96757;495,63837
1,18000;-26,96590;499,91254
1,20000;-26,96423;504,39597
1,22000;-26,96249;508,53216
1,24000;-26,96082;512,55953
1,26000;-26,95920;516,20845
1,28000;-26,95759;519,22929
1,30000;-26,95592;522,11322
1,32000;-26,95424;525,20782
1,34000;-26,95257;529,09958
1,36000;-26,95084;533,27503
1,38000;-26,94916;536,65852
1,40000;-26,94755;539,95135
1,42000;-26,94587;542,85359
1,44000;-26,94462;546,30889
1,46000;-26,94247;550,65267
1,48000;-26,94073;556,70170
1,50000;-26,93918;560,53363
1,52000;-26,93756;563,33072
1,54000;-26,93589;565,84743
1,56000;-26,93421;569,25747
1,58000;-26,93260;573,24907
1,60000;-26,93092;576,85343
1,62000;-26,92919;580,35795
1,64000;-26,92758;585,01884
1,66000;-26,92590;588,87741
1,68000;-26,92423;592,88177
1,70000;-26,92250;596,71816
1,72000;-26,92082;599,58682
