Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-40,00408;12,35025
0,02000;-40,00408;12,04111
0,04000;-40,00378;12,53480
0,06000;-40,00330;12,65714
0,08000;-40,00240;13,05260
0,10000;-40,00121;14,27676
0,12000;-39,99983;15,49533
0,14000;-39,99798;16,52044
0,16000;-39,99631;18,23311
0,18000;-39,99458;19,65592
0,20000;-39,99272;21,12455
0,22000;-39,99093;23,30032
0,24000;-39,98901;26,44249
0,26000;-39,98716;31,13075
0,28000;-39,98531;36,75212
0,30000;-39,98351;41,96306
0,32000;-39,98166;46,93403
0,34000;-39,98004;51,80833
0,36000;-39,97807;56,18767
0,38000;-39,97628;61,44342
0,40000;-39,97460;66,68348
0,42000;-39,97287;71,77068
0,44000;-39,97108;76,86430
0,46000;-39,96940;82,84843
0,48000;-39,96767;88,77285
0,50000;-39,96599;94,71682
0,52000;-39,96426;101,56499
0,54000;-39,96253;109,24103
0,56000;-39,96079;116,64245
0,58000;-39,95918;123,95832
0,60000;-39,95745;131,66921
0,62000;-39,95595;139,25621
0,64000;-39,95421;147,14019
0,66000;-39,95248;155,89035
0,68000;-39,95080;164,93861
0,70000;-39,94907;173,06209
0,72000;-39,94740;181,34105
0,74000;-39,94578;189,97219
0,76000;-39,94417;197,84602
0,78000;-39,94250;205,46271
0,80000;-39,94082;213,90433
0,82000;-39,93909;221,68162
0,84000;-39,93736;229,61576
0,86000;-39,93574;238,63080
0,88000;-39,93419;247,88261
0,90000;-39,93251;256,99658
0,92000;-39,93084;266,83202
0,94000;-39,92910;277,44109
0,96000;-39,92743;287,81185
0,98000;-39,92575;297,56837
1,00000;-39,92414;307,68274
1,02000;-39,92247;316,65771
1,04000;-39,92085;326,60111
1,06000;-39,91918;336,47786
1,08000;-39,91744;346,04212
1,10000;-39,91577;355,77051
1,12000;-39,91410;365,42160
1,14000;-39,91242;374,19952
1,16000;-39,91075;383,71491
1,18000;-39,90908;392,55954
1,20000;-39,90746;401,51249
1,22000;-39,90578;410,17151
1,24000;-39,90417;419,17837
1,26000;-39,90250;427,86873
1,28000;-39,90083;436,42013
1,30000;-39,89909;444,14359
1,32000;-39,89748;452,44857
1,34000;-39,89580;460,56444
1,36000;-39,89412;468,41162
1,38000;-39,89245;476,82449
1,40000;-39,89078;485,19415
1,42000;-39,88910;492,89167
1,44000;-39,88749;500,83939
1,46000;-39,88582;508,80103
1,48000;-39,88408;517,21558
1,50000;-39,88253;525,18742
1,52000;-39,88085;533,06501
1,54000;-39,87918;540,55904
1,56000;-39,87744;548,88949
1,58000;-39,87583;557,23237
1,60000;-39,87416;564,73743
1,62000;-39,87254;572,83021
1,64000;-39,87087;580,54212
1,66000;-39,86919;587,69709
1,68000;-39,86752;595,49115
1,70000;-39,86585;602,91076
