Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;-37,17891;53,92181
0,02000;-37,17885;53,56563
0,04000;-37,17843;53,48837
0,06000;-37,17753;55,57497
0,08000;-37,17621;60,78422
0,10000;-37,17466;69,51358
0,12000;-37,17293;79,58698
0,14000;-37,17107;91,07782
0,16000;-37,16928;103,65868
0,18000;-37,16731;115,55882
0,20000;-37,16527;128,37867
0,22000;-37,16336;141,60108
0,24000;-37,16139;154,42558
0,26000;-37,15954;166,55840
0,28000;-37,15768;178,27870
0,30000;-37,15583;190,38302
0,32000;-37,15397;202,60115
0,34000;-37,15212;215,05880
0,36000;-37,15039;226,95973
0,38000;-37,14865;238,48359
0,40000;-37,14686;249,74716
0,42000;-37,14513;261,48574
0,44000;-37,14339;273,20848
0,46000;-37,14166;284,93546
0,48000;-37,13986;296,72333
0,50000;-37,13825;307,81673
0,52000;-37,13658;318,99181
0,54000;-37,13484;330,96706
0,56000;-37,13311;342,17788
0,58000;-37,13143;353,36013
0,60000;-37,12976;364,66981
0,62000;-37,12809;376,61197
0,64000;-37,12647;387,41240
0,66000;-37,12474;398,11162
0,68000;-37,12306;409,50933
0,70000;-37,12139;420,53838
0,72000;-37,11966;431,62000
0,74000;-37,11804;443,10777
0,76000;-37,11637;453,48210
0,78000;-37,11469;463,00418
0,80000;-37,11296;472,36276
0,82000;-37,11134;481,71747
0,84000;-37,10961;490,22310
0,86000;-37,10794;497,78419
0,88000;-37,10638;504,45911
0,90000;-37,10471;510,02922
0,92000;-37,10297;515,00387
0,94000;-37,10130;519,61117
0,96000;-37,09963;524,06518
0,98000;-37,09789;528,59480
1,00000;-37,09634;532,94557
1,02000;-37,09466;536,54625
1,04000;-37,09299;540,38297
1,06000;-37,09131;544,11078
1,08000;-37,08964;548,13670
1,10000;-37,08797;551,66404
1,12000;-37,08635;555,66304
1,14000;-37,08474;559,73497
1,16000;-37,08306;563,51861
1,18000;-37,08133;567,68390
1,20000;-37,07965;571,75122
1,22000;-37,07798;575,96997
1,24000;-37,07631;578,81377
1,26000;-37,07469;582,18013
1,28000;-37,07302;585,75692
1,30000;-37,07134;589,66088
1,32000;-37,06961;593,52503
1,34000;-37,06794;597,36879
1,36000;-37,06626;601,07936
1,38000;-37,06471;604,34896
1,40000;-37,06297;607,17105
1,42000;-37,06130;610,58705
1,44000;-37,05957;613,86544
1,46000;-37,05789;617,52391
1,48000;-37,05628;620,79723
1,50000;-37,05466;623,46202
1,52000;-37,05299;625,70670
1,54000;-37,05132;628,82137
1,56000;-37,04964;631,69179
1,58000;-37,04797;635,30905
1,60000;-37,04629;639,05977
1,62000;-37,04468;641,36740
1,64000;-37,04300;644,34195
1,66000;-37,04133;647,84382
1,68000;-37,03966;651,29516
1,70000;-37,03798;654,64554
1,72000;-37,03631;657,48389
1,74000;-37,03463;660,48526
1,76000;-37,03302;662,90353
1,78000;-37,03134;665,11962
1,80000;-37,02967;667,99759
1,82000;-37,02800;670,85498
1,84000;-37,02632;673,51614
1,86000;-37,02459;676,25428
1,88000;-37,02297;679,16173
1,90000;-37,02130;681,32179
1,92000;-37,01963;683,50569
1,94000;-37,01801;685,62902
1,96000;-37,01634;687,94792
1,98000;-37,01460;690,51692
2,00000;-37,01299;693,07573
2,02000;-37,01138;695,02722
2,04000;-37,00970;697,18179
2,06000;-37,00797;699,02297
2,08000;-37,00629;700,54159
2,10000;-37,00462;702,13960
2,12000;-37,00295;703,72471
2,14000;-37,00133;705,53054
2,16000;-36,99966;707,60311
2,18000;-36,99792;709,68540
2,20000;-36,99625;711,49417
2,22000;-36,99458;712,17655
2,24000;-36,99296;713,25311
2,26000;-36,99135;715,11096
2,28000;-36,98967;715,51315
2,30000;-36,98800;715,38673
2,32000;-36,98632;716,10739
2,34000;-36,98465;717,33035
2,36000;-36,98298;717,73273
2,38000;-36,98130;718,08677
2,40000;-36,97969;718,76827
2,42000;-36,97801;719,26699
2,44000;-36,97634;719,87053
2,46000;-36,97461;720,40074
2,48000;-36,97293;720,66449
2,50000;-36,97125;721,02495
2,52000;-36,96964;720,97746
2,54000;-36,96797;720,80460
2,56000;-36,96629;720,57508
2,58000;-36,96468;720,25475
2,60000;-36,96295;720,79883
2,62000;-36,96127;722,98502
2,64000;-36,95966;728,01979
2,66000;-36,95798;734,26347
2,68000;-36,95631;741,25705
2,70000;-36,95464;749,92073
2,72000;-36,95296;758,34109
2,74000;-36,95123;766,25119
2,76000;-36,94961;775,45145
2,78000;-36,94794;783,51414
2,80000;-36,94627;791,11969
2,82000;-36,94465;798,26145
2,84000;-36,94298;805,18853
2,86000;-36,94130;812,49196
2,88000;-36,93969;820,30389
2,90000;-36,93801;827,63219
2,92000;-36,93634;834,72366
2,94000;-36,93460;842,87329
2,96000;-36,93299;849,90514
2,98000;-36,93132;856,59828
3,00000;-36,92964;863,79359
3,02000;-36,92803;870,46502
3,04000;-36,92635;876,46199
3,06000;-36,92462;883,06414
3,08000;-36,92301;889,59429
3,10000;-36,92133;895,42717
3,12000;-36,91966;901,89558
3,14000;-36,91804;908,35355
3,16000;-36,91637;914,58447
3,18000;-36,91475;921,46546
