Temps;Déplacement;Charge
(sec);(mm);(N)
0,00000;0,12257;22,21945
0,02000;0,12251;22,23994
0,04000;0,12287;21,04852
0,06000;0,12323;20,93147
0,08000;0,12400;22,20292
0,10000;0,12520;24,52704
0,12000;0,12669;27,63483
0,14000;0,12831;31,50123
0,16000;0,13010;34,54120
0,18000;0,13190;38,01996
0,20000;0,13375;42,77783
0,22000;0,13560;47,97415
0,24000;0,13752;52,55836
0,26000;0,13937;57,64775
0,28000;0,14116;63,14702
0,30000;0,14302;68,53358
0,32000;0,14487;74,03846
0,34000;0,14666;80,08533
0,36000;0,14846;85,71649
0,38000;0,15019;91,29532
0,40000;0,15198;96,99963
0,42000;0,15372;103,19491
0,44000;0,15545;109,01549
0,46000;0,15713;115,17565
0,48000;0,15886;120,92980
0,50000;0,16053;127,00356
0,52000;0,16227;133,22267
0,54000;0,16394;139,41412
0,56000;0,16568;145,20228
0,58000;0,16735;151,38267
0,60000;0,16902;157,46878
0,62000;0,17070;163,24652
0,64000;0,17237;169,22260
0,66000;0,17411;175,53197
0,68000;0,17584;181,68727
0,70000;0,17746;188,25395
0,72000;0,17907;194,96232
0,74000;0,18068;201,01569
0,76000;0,18248;207,17315
0,78000;0,18415;213,26034
0,80000;0,18583;219,13543
0,82000;0,18750;225,46074
0,84000;0,18911;230,93733
0,86000;0,19085;235,95644
0,88000;0,19252;241,08626
0,90000;0,19420;246,53401
0,92000;0,19587;251,19365
0,94000;0,19754;256,05669
0,96000;0,19916;260,56538
0,98000;0,20083;264,06650
1,00000;0,20257;262,60354
1,02000;0,20418;225,81343
1,04000;0,20586;189,68286
1,06000;0,20753;181,98263
1,08000;0,20914;187,99898
1,10000;0,21082;194,29429
1,12000;0,21249;203,33128
1,14000;0,21417;209,89466
1,16000;0,21584;218,08494
1,18000;0,21757;223,25781
1,20000;0,21919;230,13004
1,22000;0,22086;236,08864
1,24000;0,22254;243,26157
1,26000;0,22421;247,98363
1,28000;0,22582;253,01552
1,30000;0,22756;256,66740
1,32000;0,22917;259,36195
1,34000;0,23085;262,55075
1,36000;0,23252;262,82561
1,38000;0,23414;262,70119
1,40000;0,23587;263,23569
1,42000;0,23748;263,36638
1,44000;0,23916;262,86521
1,46000;0,24083;262,63651
1,48000;0,24257;262,03240
1,50000;0,24418;260,81167
1,52000;0,24585;261,15950
1,54000;0,24753;263,58927
1,56000;0,24920;268,92249
1,58000;0,25082;274,37706
1,60000;0,25249;279,29759
1,62000;0,25417;284,83905
1,64000;0,25584;291,30741
1,66000;0,25751;298,01221
1,68000;0,25925;304,01030
1,70000;0,26086;310,31652
1,72000;0,26248;317,34444
1,74000;0,26415;324,15218
1,76000;0,26588;330,59320
1,78000;0,26756;337,23346
1,80000;0,26923;343,97545
1,82000;0,27085;350,67799
1,84000;0,27246;357,30568
1,86000;0,27413;363,22067
1,88000;0,27581;369,76873
1,90000;0,27754;376,57798
1,92000;0,27922;383,51924
1,94000;0,28089;390,15226
1,96000;0,28251;396,30579
1,98000;0,28418;401,41526
2,00000;0,28585;406,84962
2,02000;0,28753;413,13856
2,04000;0,28920;419,25744
2,06000;0,29094;425,46466
2,08000;0,29255;431,23863
2,10000;0,29416;436,61017
2,12000;0,29578;442,52831
2,14000;0,29745;448,74051
2,16000;0,29913;454,64598
2,18000;0,30086;460,96705
2,20000;0,30248;466,83820
2,22000;0,30409;472,81706
2,24000;0,30582;478,80630
2,26000;0,30750;484,39079
2,28000;0,30911;490,81892
2,30000;0,31079;497,22143
2,32000;0,31252;503,33650
2,34000;0,31413;509,78926
2,36000;0,31581;516,24440
2,38000;0,31748;522,90563
2,40000;0,31916;529,15933
2,42000;0,32077;535,07937
2,44000;0,32244;541,53865
2,46000;0,32406;547,81088
2,48000;0,32573;553,85153
2,50000;0,32747;561,03454
2,52000;0,32914;567,81522
2,54000;0,33082;574,80638
2,56000;0,33249;581,51274
2,58000;0,33410;588,65082
2,60000;0,33578;595,70405
2,62000;0,33745;601,97101
2,64000;0,33919;608,73074
2,66000;0,34086;616,00422
2,68000;0,34253;622,35747
2,70000;0,34415;629,30533
2,72000;0,34576;636,27302
2,74000;0,34744;642,78007
2,76000;0,34911;649,79512
2,78000;0,35078;657,04319
2,80000;0,35246;663,56012
2,82000;0,35413;670,14676
2,84000;0,35569;676,30205
2,86000;0,35742;682,84036
2,88000;0,35910;689,62714
2,90000;0,36077;697,18650
2,92000;0,36244;704,13239
2,94000;0,36418;710,92634
2,96000;0,36573;717,13757
2,98000;0,36741;723,10320
3,00000;0,36908;729,49077
3,02000;0,37075;736,20197
3,04000;0,37243;743,45507
3,06000;0,37416;750,39729
3,08000;0,37578;756,84912
3,10000;0,37745;763,17964
3,12000;0,37913;770,22505
3,14000;0,38080;777,24890
3,16000;0,38247;784,13542
3,18000;0,38421;790,64080
3,20000;0,38582;797,31727
3,22000;0,38750;803,98908
3,24000;0,38917;810,33316
3,26000;0,39084;816,02745
3,28000;0,39252;822,06242
3,30000;0,39419;828,63979
3,32000;0,39587;835,22033
3,34000;0,39748;841,61283
3,36000;0,39915;847,34485
3,38000;0,40083;853,88087
3,40000;0,40244;859,84273
3,42000;0,40412;866,12338
3,44000;0,40579;872,51822
3,46000;0,40741;879,21033
3,48000;0,40908;884,61163
3,50000;0,41075;890,44627
3,52000;0,41249;897,06201
3,54000;0,41410;903,65633
3,56000;0,41578;909,52124
3,58000;0,41745;915,36352
3,60000;0,41912;920,84836
3,62000;0,42080;926,58736
3,64000;0,42247;932,33595
3,66000;0,42421;937,75196
3,68000;0,42588;943,47643
3,70000;0,42744;949,30641
3,72000;0,42905;954,72662
3,74000;0,43078;960,48880
3,76000;0,43246;966,13206
3,78000;0,43419;972,48834
3,80000;0,43587;978,24754
3,82000;0,43754;982,95910
3,84000;0,43915;987,84650
3,86000;0,44083;992,48430
3,88000;0,44256;997,72420
3,90000;0,44424;1002,64326
3,92000;0,44591;1007,41936
3,94000;0,44758;1012,09208
3,96000;0,44920;1016,95172
3,98000;0,45081;1021,10095
4,00000;0,45243;1024,87551
4,02000;0,45410;1029,44691
4,04000;0,45578;1033,99949
4,06000;0,45745;1038,35994
4,08000;0,45912;1042,94615
4,10000;0,46080;1047,22213
4,12000;0,46241;1051,32507
4,14000;0,46409;1054,94941
4,16000;0,46582;1058,95381
4,18000;0,46749;1062,93624
4,20000;0,46917;1066,78586
4,22000;0,47084;1070,55837
4,24000;0,47252;1074,55049
4,26000;0,47419;1077,95969
4,28000;0,47580;1081,06360
4,30000;0,47748;1084,99844
4,32000;0,47915;1088,87749
4,34000;0,48077;1092,71016
4,36000;0,48244;1095,83363
4,38000;0,48412;1099,39575
4,40000;0,48579;1102,86120
4,42000;0,48746;1106,54440
4,44000;0,48920;1110,27714
4,46000;0,49081;1113,64322
4,48000;0,49249;1117,30257
4,50000;0,49422;1120,43172
4,52000;0,49589;1123,95100
4,54000;0,49757;1126,99289
4,56000;0,49918;1130,50221
4,58000;0,50080;1133,59503
4,60000;0,50247;1137,08610
4,62000;0,50414;1139,83806
4,64000;0,50582;1142,90565
4,66000;0,50749;1146,22852
4,68000;0,50917;1149,58389
4,70000;0,51078;1152,67495
4,72000;0,51240;1155,71534
4,74000;0,51407;1158,00109
4,76000;0,51580;1160,87953
4,78000;0,51748;1165,23225
4,80000;0,51921;1168,85370
4,82000;0,52089;1171,36259
4,84000;0,52244;1174,04005
4,86000;0,52411;1177,23551
4,88000;0,52579;1180,38375
4,90000;0,52746;1183,51635
4,92000;0,52920;1186,49499
4,94000;0,53087;1189,83155
4,96000;0,53249;1192,93267
4,98000;0,53416;1196,22517
5,00000;0,53589;1199,28829
5,02000;0,53751;1201,86033
5,04000;0,53918;1204,28279
5,06000;0,54086;1206,45668
5,08000;0,54253;1209,23715
5,10000;0,54414;1212,60481
5,12000;0,54588;1215,20935
5,14000;0,54755;1217,36703
5,16000;0,54917;1219,54056
5,18000;0,55084;1222,37792
5,20000;0,55251;1224,72020
5,22000;0,55413;1227,33172
5,24000;0,55580;1229,84499
5,26000;0,55754;1232,71691
5,28000;0,55915;1235,20894
5,30000;0,56083;1237,61995
5,32000;0,56250;1240,35673
5,34000;0,56411;1243,03456
5,36000;0,56585;1244,95234
5,38000;0,56752;1247,34920
5,40000;0,56920;1249,49729
5,42000;0,57087;1251,55356
5,44000;0,57254;1254,00452
5,46000;0,57410;1257,07341
5,48000;0,57577;1259,24014
5,50000;0,57745;1261,65682
5,52000;0,57918;1264,12585
5,54000;0,58085;1266,28168
5,56000;0,58259;1268,24025
5,58000;0,58420;1270,41172
5,60000;0,58582;1272,36424
5,62000;0,58749;1273,96779
5,64000;0,58923;1276,14308
5,66000;0,59090;1278,75330
5,68000;0,59257;1280,82242
5,70000;0,59419;1282,77168
5,72000;0,59580;1284,35576
5,74000;0,59748;1286,25361
5,76000;0,59915;1288,89894
5,78000;0,60082;1291,66748
5,80000;0,60256;1293,78056
5,82000;0,60423;1296,31497
5,84000;0,60585;1298,07843
5,86000;0,60752;1299,95923
5,88000;0,60920;1302,03171
5,90000;0,61087;1304,05100
5,92000;0,61260;1305,85255
5,94000;0,61428;1308,39339
5,96000;0,61589;1310,52788
5,98000;0,61757;1311,86293
6,00000;0,61918;1313,19994
6,02000;0,62085;1315,00028
6,04000;0,62247;1316,31754
6,06000;0,62426;1318,03611
6,08000;0,62588;1319,90314
6,10000;0,62749;1321,84559
6,12000;0,62922;1323,01552
6,14000;0,63090;1324,40589
6,16000;0,63251;1325,21056
6,18000;0,63419;1326,89243
6,20000;0,63592;1329,44398
6,22000;0,63754;1331,41624
6,24000;0,63921;1332,41061
6,26000;0,64082;1334,05095
6,28000;0,64250;1335,06488
6,30000;0,64393;1336,22680
6,32000;0,64591;1337,85121
6,34000;0,64752;1340,42874
6,36000;0,64919;1342,08146
6,38000;0,65087;1343,69861
6,40000;0,65254;1345,01383
6,42000;0,65422;1346,50161
6,44000;0,65589;1347,40621
6,46000;0,65751;1348,15415
6,48000;0,65906;1348,97418
6,50000;0,66091;1350,38383
6,52000;0,66253;1351,72755
6,54000;0,66420;1353,73985
6,56000;0,66588;1355,24441
6,58000;0,66755;1356,04218
6,60000;0,66916;1357,44670
6,62000;0,67072;1358,61598
6,64000;0,67263;1359,46404
6,66000;0,67431;1360,99178
6,68000;0,67598;1362,34900
6,70000;0,67759;1363,14398
6,72000;0,67921;1363,83167
6,74000;0,68088;1364,31502
6,76000;0,68250;1364,41607
6,78000;0,68417;1365,40737
6,80000;0,68585;1366,63504
6,82000;0,68752;1367,01148
6,84000;0,68919;1367,87603
6,86000;0,69081;1368,85969
6,88000;0,69248;1369,50603
6,90000;0,69386;1370,05066
6,92000;0,69583;1371,92002
6,94000;0,69756;1374,43645
6,96000;0,69924;1376,59730
6,98000;0,70079;1377,90637
7,00000;0,70247;1378,49515
7,02000;0,70414;1380,33452
7,04000;0,70581;1382,65416
7,06000;0,70737;1384,82591
7,08000;0,70916;1386,98705
7,10000;0,71084;1390,32714
7,12000;0,71251;1393,27934
7,14000;0,71419;1395,84793
7,16000;0,71586;1398,23081
7,18000;0,71753;1400,54887
7,20000;0,71915;1402,90428
7,22000;0,72082;1405,57289
7,24000;0,72250;1408,62744
7,26000;0,72423;1411,69624
7,28000;0,72590;1414,18427
7,30000;0,72758;1416,56306
7,32000;0,72925;1418,86994
7,34000;0,73081;1420,83075
7,36000;0,73236;1422,23993
7,38000;0,73416;1425,02375
7,40000;0,73583;1427,80859
7,42000;0,73750;1430,27725
7,44000;0,73918;1431,82613
7,46000;0,74079;1433,66531
7,48000;0,74241;1434,82126
7,50000;0,74408;1436,44260
7,52000;0,74575;1439,12416
7,54000;0,74749;1441,40171
7,56000;0,74916;1443,07399
7,58000;0,75084;1444,96718
7,60000;0,75245;1446,34740
7,62000;0,75407;1447,24157
7,64000;0,75574;1448,39538
7,66000;0,75741;1449,39842
7,68000;0,75909;1450,64797
7,70000;0,76082;1452,26819
7,72000;0,76244;1453,25772
7,74000;0,76411;1453,51393
7,76000;0,76578;1454,27976
7,78000;0,76716;1455,43786
7,80000;0,76919;1456,83885
7,82000;0,77093;1459,25581
7,84000;0,77254;1461,00000
7,86000;0,77415;1461,57034
7,88000;0,77583;1461,90841
7,90000;0,77750;1462,32089
7,92000;0,77912;1463,48104
7,94000;0,78079;1464,46675
7,96000;0,78247;1465,60064
7,98000;0,78408;1466,73685
8,00000;0,78581;1466,66514
8,02000;0,78749;1467,45564
8,04000;0,78910;1468,99652
8,06000;0,79066;1470,16607
8,08000;0,79251;1471,34159
8,10000;0,79418;1473,38482
8,12000;0,79586;1475,30278
8,14000;0,79753;1476,38367
8,16000;0,79915;1476,83891
8,18000;0,80076;1476,17161
8,20000;0,80249;1477,13721
8,22000;0,80411;1478,25954
8,24000;0,80572;1479,74631
8,26000;0,80746;1480,82748
8,28000;0,80913;1481,39885
8,30000;0,81075;1482,77534
8,32000;0,81242;1484,44921
8,34000;0,81409;1486,40433
8,36000;0,81571;1487,77710
8,38000;0,81750;1488,99592
8,40000;0,81918;1491,10211
8,42000;0,82085;1492,88308
8,44000;0,82246;1495,04291
8,46000;0,82414;1497,23990
8,48000;0,82587;1499,53049
8,50000;0,82755;1502,00604
8,52000;0,82916;1504,15683
8,54000;0,83083;1505,76467
8,56000;0,83257;1506,99168
8,58000;0,83424;1508,78681
8,60000;0,83580;1511,15125
8,62000;0,83747;1513,20063
8,64000;0,83915;1515,36567
8,66000;0,84088;1517,16899
8,68000;0,84255;1519,61921
8,70000;0,84423;1521,63198
8,72000;0,84584;1523,72569
8,74000;0,84740;1526,02931
8,76000;0,84913;1528,04451
8,78000;0,85086;1530,48616
8,80000;0,85254;1533,85168
8,82000;0,85421;1536,55205
8,84000;0,85583;1538,71477
8,86000;0,85744;1540,90887
8,88000;0,85912;1542,64867
8,90000;0,86079;1545,04701
8,92000;0,86246;1547,85709
8,94000;0,86426;1550,74978
8,96000;0,86593;1553,62217
8,98000;0,86755;1556,54978
9,00000;0,86922;1558,69899
9,02000;0,87083;1560,99051
9,04000;0,87251;1563,66546
9,06000;0,87418;1565,83041
9,08000;0,87592;1568,79630
9,10000;0,87753;1571,61392
9,12000;0,87920;1573,61198
9,14000;0,88088;1575,91123
9,16000;0,88255;1578,44406
9,18000;0,88417;1580,63248
9,20000;0,88584;1583,22416
9,22000;0,88752;1586,14852
9,24000;0,88919;1589,01364
9,26000;0,89086;1591,55633
9,28000;0,89254;1594,13051
9,30000;0,89415;1596,65085
9,32000;0,89577;1599,07807
9,34000;0,89744;1601,88600
9,36000;0,89911;1605,01599
9,38000;0,90079;1607,85932
9,40000;0,90246;1610,23252
9,42000;0,90414;1613,14476
9,44000;0,90581;1615,93910
9,46000;0,90748;1618,42853
9,48000;0,90910;1620,87511
9,50000;0,91077;1623,48766
9,52000;0,91251;1627,74902
9,54000;0,91418;1632,86589
9,56000;0,91586;1637,54672
9,58000;0,91753;1642,96031
9,60000;0,91914;1648,23942
9,62000;0,92076;1653,84915
9,64000;0,92243;1659,46633
9,66000;0,92411;1666,02321
9,68000;0,92584;1672,21613
9,70000;0,92751;1677,91452
9,72000;0,92913;1683,76323
9,74000;0,93074;1689,76467
9,76000;0,93242;1695,57240
9,78000;0,93415;1702,11475
9,80000;0,93583;1708,88677
9,82000;0,93750;1715,61688
9,84000;0,93917;1722,75268
9,86000;0,94079;1728,45982
9,88000;0,94240;1733,34908
9,90000;0,94408;1739,32239
9,92000;0,94575;1745,93870
9,94000;0,94742;1752,14820
9,96000;0,94910;1758,07085
9,98000;0,95071;1764,26452
10,00000;0,95227;1769,74628
10,02000;0,95406;1776,03923
10,04000;0,95574;1783,21674
10,06000;0,95741;1789,87999
10,08000;0,95914;1795,70541
10,10000;0,96076;1801,35425
10,12000;0,96243;1806,46814
10,14000;0,96411;1811,88677
10,16000;0,96578;1816,66519
10,18000;0,96739;1822,29634
10,20000;0,96907;1827,47822
10,22000;0,97074;1832,19649
10,24000;0,97242;1837,27760
10,26000;0,97409;1841,88019
10,28000;0,97576;1846,46510
10,30000;0,97738;1851,13084
10,32000;0,97905;1856,20915
10,34000;0,98079;1860,83633
10,36000;0,98240;1865,87889
10,38000;0,98408;1870,34737
10,40000;0,98581;1874,84473
10,42000;0,98748;1879,25491
10,44000;0,98910;1883,90557
10,46000;0,99083;1888,68493
10,48000;0,99245;1893,24394
10,50000;0,99412;1897,68579
10,52000;0,99579;1901,86556
10,54000;0,99747;1906,53540
10,56000;0,99908;1910,87704
10,58000;1,00076;1915,51726
10,60000;1,00237;1920,24559
